,Unnamed: 0,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
297,297,736,Louise Fleury,79,85,73,75,78,44,65,83,86,80,75,74,69,65,60,78,73,58,80,72,67,78,70,75,74,81,76,42,56,46,41,35,74,76,67,44,LM,3,4,Left,"167cm / 5'6""",59kg / 130lb,"RM, LW",27,France,Arkema PL,FC Nantes,Rapid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/louise-fleury/265937,,,,,
298,298,736,Rocío Gálvez,79,69,29,54,65,79,77,70,68,30,25,41,26,24,39,33,31,40,78,70,27,56,66,78,76,74,72,80,80,81,78,77,85,69,78,80,CB,3,2,Right,"174cm / 5'9""",68kg / 150lb,,27,Spain,Liga F,Real Madrid CF,"Aerial, Bruiser, Long Ball Pass, Power Header",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rocio-galvez/242797,,,,,
299,299,736,Shei,79,85,75,73,80,73,68,86,85,72,77,74,75,62,68,68,73,56,80,74,62,80,84,90,71,80,74,72,80,70,75,75,85,90,60,58,RB,3,4,Right,"162cm / 5'4""",49kg / 108lb,RW,27,Spain,Liga F,Real Madrid CF,"Rapid, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/shei/256303,,,,,
300,300,736,Gemma Gili,79,64,71,74,76,74,79,67,62,80,71,70,80,42,53,79,51,71,84,75,75,75,64,70,77,80,81,80,65,70,77,70,76,86,79,69,CM,3,3,Right,"175cm / 5'9""",58kg / 128lb,CAM,30,Spain,Liga F,Sevilla FC,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gemma-gili/241182,,,,,
301,301,736,Dominika Grabowska,79,65,72,81,83,63,63,66,65,77,74,69,73,61,77,82,78,67,85,82,79,85,77,79,75,83,82,69,45,61,68,58,58,70,58,70,CM,3,3,Left,"165cm / 5'5""",55kg / 121lb,LM,25,Poland,GPFBL,TSG Hoffenheim,"First Touch, Incisive Pass, Technical, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dominika-grabowska/264982,,,,,
302,302,736,Jackie Groenen,79,79,65,81,80,71,72,78,79,74,59,76,68,63,58,86,79,60,84,81,71,82,80,90,79,76,83,75,59,66,77,68,76,76,72,68,CM,4,3,Right,"165cm / 5'5""",60kg / 132lb,CDM,29,Holland,Arkema PL,Paris SG,Press Proven,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jackie-groenen/233852,,,,,
303,303,736,Maria-Luisa Grohs,79,77,78,74,77,54,79,55,52,7,6,56,6,5,19,55,12,15,22,34,11,10,56,53,80,23,23,12,16,13,11,10,67,19,68,21,GK,3,1,Right,"180cm / 5'11""",70kg / 154lb,,23,Germany,GPFBL,FC Bayern München,"Cross Claimer, Far Reach",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/maria-luisa-grohs/264899,77.0,78.0,74.0,79.0,77.0
304,304,736,Shea Groom,79,80,73,78,77,61,59,79,80,81,76,72,70,63,71,77,76,61,83,77,75,79,73,49,77,81,73,71,62,43,72,57,62,84,39,78,CM,3,3,Right,"168cm / 5'6""",60kg / 132lb,CAM,31,United States,NWSL,Chicago Red Stars,Relentless,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/shea-groom/267497,,,,,
305,305,736,Isabella Hartig,79,68,71,75,77,72,78,73,63,79,71,70,74,62,60,80,65,64,79,77,65,78,68,63,81,79,74,78,68,69,78,55,81,79,81,70,CM,4,3,Right,"171cm / 5'7""",61kg / 134lb,CDM,27,Germany,GPFBL,TSG Hoffenheim,Intercept,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/isabella-hartig/264990,,,,,
306,306,736,Oriane Jean-François,79,71,67,71,72,79,74,71,71,74,67,72,69,54,53,76,53,49,80,78,58,69,68,74,76,77,68,81,63,79,83,74,76,73,75,72,CDM,2,3,Right,"164cm / 5'5""",58kg / 128lb,CM,23,France,Barclays WSL,Chelsea,"Anticipate, Intercept, Press Proven",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/oriane-jean-francois/264969,,,,,
307,307,736,Stina Johannes,79,77,78,76,76,52,79,52,52,10,7,57,7,6,13,69,12,14,25,36,11,12,51,35,79,13,51,13,7,13,11,9,67,28,69,23,GK,3,1,Right,"177cm / 5'10""",66kg / 146lb,,24,Germany,GPFBL,Frankfurt,"Deflector, Far Throw, Footwork, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/stina-johannes/265054,77.0,78.0,76.0,79.0,76.0
308,308,736,Alanna Kennedy,79,49,46,71,65,80,76,47,50,43,37,63,49,43,57,57,51,71,85,83,68,59,42,48,78,79,79,79,77,81,82,77,77,70,79,76,CB,4,2,Right,"177cm / 5'10""",66kg / 146lb,CDM,29,Australia,Barclays WSL,Manchester City,Slide Tackle,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alanna-kennedy/227109,,,,,
309,309,736,Melissa Kössler,79,82,80,68,76,45,78,80,84,81,80,83,78,82,70,66,72,69,74,51,71,75,81,75,78,75,74,44,79,39,42,41,91,66,83,77,ST,2,3,Right,"178cm / 5'10""",66kg / 146lb,RW,24,Germany,GPFBL,TSG Hoffenheim,"Aerial, Finesse Shot, Power Header",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/melissa-kossler/265020,,,,,
310,310,736,Martina Lenzini,79,74,40,70,67,79,76,73,75,34,41,44,30,29,65,63,66,55,82,67,54,60,69,59,82,76,69,79,78,81,78,76,84,80,73,78,RB,3,2,Right,"173cm / 5'8""",63kg / 139lb,CB,26,Italy,Calcio A Femminile,Juventus,Long Throw,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/martina-lenzini/266937,,,,,
311,311,736,Elene Lete,79,80,75,75,80,54,78,52,57,9,10,56,8,8,11,30,9,12,15,20,11,12,60,45,77,12,30,15,15,10,16,20,62,20,36,18,GK,2,1,Right,"173cm / 5'8""",66kg / 146lb,,22,Spain,Liga F,Real Sociedad,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/elene-lete/272213,80.0,75.0,75.0,78.0,80.0
312,312,736,Marie Levasseur,79,74,66,65,74,77,74,70,78,66,68,63,64,68,57,53,72,52,73,60,63,73,68,68,74,79,69,75,80,74,78,80,81,88,70,67,RB,4,3,Right,"172cm / 5'8""",63kg / 139lb,,27,Canada,Arkema PL,Montpellier,"Aerial, Anticipate, Bruiser, Intercept, Long Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marie-levasseur/264807,,,,,
313,313,736,Katie Lind,79,53,43,57,63,83,69,51,55,43,39,52,43,37,42,47,46,36,70,62,49,60,52,65,74,69,72,78,80,89,84,79,79,44,78,77,CB,2,2,Right,"178cm / 5'10""",66kg / 146lb,,30,United States,NWSL,Houston Dash,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/katie-lind/267289,,,,,
314,314,736,Maitane,79,70,63,76,74,79,83,71,69,66,54,81,69,55,57,76,75,62,80,74,71,69,80,62,79,80,72,78,81,79,79,77,90,85,85,76,CB,3,3,Right,"176cm / 5'9""",61kg / 134lb,CM,29,Spain,NWSL,NJ/NY Gotham,"Incisive Pass, Intercept, Long Ball Pass, Press Proven",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/maitane/228628,,,,,
315,315,736,Noëlle Maritz,79,77,47,75,72,79,73,76,77,59,38,62,49,43,57,62,77,44,85,75,77,65,81,79,72,75,82,80,74,83,78,72,80,76,68,80,RB,4,3,Right,"165cm / 5'5""",58kg / 128lb,LB,28,Switzerland,Barclays WSL,Aston Villa,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/noelle-maritz/265243,,,,,
316,316,736,Sarah Mayling,79,70,59,71,71,78,76,67,72,54,58,67,56,43,70,60,82,73,72,70,68,67,74,64,73,76,74,78,76,81,77,76,81,83,73,73,RB,3,3,Right,"166cm / 5'5""",58kg / 128lb,RM,27,England,Barclays WSL,Aston Villa,Anticipate,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sarah-mayling/265326,,,,,
317,317,736,Kristen McNabb,79,75,49,71,73,77,64,73,77,57,44,57,52,52,46,57,77,57,77,70,71,72,62,71,75,78,70,71,78,78,78,80,75,77,53,70,LB,3,3,Left,"164cm / 5'5""",57kg / 126lb,CB,30,United States,NWSL,San Diego Wave,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kristen-mc-nabb/267386,,,,,
318,318,736,Maria Méndez,79,76,55,69,65,79,76,72,79,55,57,52,53,43,62,59,60,45,82,77,45,55,66,65,74,79,65,77,74,80,82,79,84,68,79,75,CB,2,2,Right,"173cm / 5'8""",65kg / 143lb,,23,Spain,Liga F,Real Madrid CF,"Jockey, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/maria-mendez/271944,,,,,
319,319,736,Kristie Mewis,79,84,72,76,81,59,79,88,81,80,73,68,76,43,75,83,67,66,79,77,68,80,91,60,76,84,76,65,71,48,67,45,86,85,73,83,CM,3,4,Left,"170cm / 5'7""",64kg / 141lb,CDM,33,United States,Barclays WSL,West Ham,"Chip Shot, Incisive Pass, Long Ball Pass, Power Header, Quick Step, Rapid, Tiki Taka",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kristie-mewis/226351,,,,,
320,320,736,Moeka Minami,79,64,56,58,70,80,73,59,68,50,63,56,47,32,60,44,41,41,82,58,25,66,68,60,76,80,63,77,73,88,78,79,77,63,76,77,CB,3,2,Right,"172cm / 5'8""",62kg / 137lb,,25,Japan,Calcio A Femminile,Roma,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/moeka-minami/247805,,,,,
321,321,736,Caroline Møller,79,76,78,70,79,45,75,77,75,82,80,77,76,75,75,69,64,60,80,65,52,81,70,54,81,82,75,46,74,41,40,42,85,78,76,68,ST,4,3,Right,"178cm / 5'10""",64kg / 141lb,"LW, CAM",25,Denmark,Liga F,Real Madrid CF,Aerial,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/caroline-m-ller/268992,,,,,
322,322,736,Marie Müller,79,81,69,78,80,76,69,82,81,78,68,75,66,68,60,77,79,69,81,76,68,82,75,82,77,79,73,72,71,80,78,74,82,73,68,64,LB,3,3,Right,"168cm / 5'6""",60kg / 132lb,,24,Germany,NWSL,Portland Thorns,"Anticipate, Block, Intercept, Jockey, Long Ball Pass, Long Throw, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marie-muller/265072,,,,,
323,323,736,Zećira Mušović,79,80,82,79,75,40,77,41,38,7,9,59,10,15,24,48,16,13,28,30,13,14,37,47,70,21,54,10,15,19,15,16,51,22,37,22,GK,2,1,Right,"180cm / 5'11""",73kg / 161lb,,28,Sweden,Barclays WSL,Chelsea,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/zecira-musovic/243379,80.0,82.0,79.0,77.0,75.0
324,324,736,Adriana Nanclares,79,80,75,70,81,45,78,50,37,7,9,53,10,7,12,27,9,11,15,23,10,10,56,44,77,11,32,14,11,9,17,18,53,16,36,18,GK,2,1,Left,"170cm / 5'7""",52kg / 115lb,,22,Spain,Liga F,Athletic Club,"Cross Claimer, Far Reach",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/adriana-nanclares/272212,80.0,75.0,70.0,78.0,81.0
325,325,736,Kika Nazareth,79,79,76,75,80,55,66,78,79,76,80,68,75,68,76,75,67,68,82,74,74,81,72,72,75,83,77,42,69,38,71,65,77,73,68,47,CAM,4,4,Right,"170cm / 5'7""",67kg / 148lb,"CM, ST",21,Portugal,Liga F,FC Barcelona,"Chip Shot, Flair, Incisive Pass, Relentless, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kika-nazareth/261855,,,,,
326,326,736,Ify Onumonu,79,88,77,65,74,40,77,87,89,81,79,77,73,74,71,52,51,65,79,70,57,74,74,52,79,77,73,33,74,38,35,37,91,67,82,75,ST,3,3,Right,"178cm / 5'10""",65kg / 143lb,LW,30,Nigeria,NWSL,Utah Royals FC,Quick Step,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ify-onumonu/267359,,,,,
327,327,736,Maite Oroz,79,77,66,76,83,63,73,78,77,74,74,53,71,39,54,80,61,62,84,79,76,83,80,83,80,85,81,69,48,61,70,54,79,78,75,60,CM,4,4,Right,"155cm / 5'1""",49kg / 108lb,CDM,26,Spain,Liga F,Real Madrid CF,"Incisive Pass, Press Proven, Tiki Taka",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/maite-oroz/262458,,,,,
328,328,736,Salma Paralluelo,79,93,79,71,80,45,76,92,93,74,82,81,74,75,63,73,68,65,73,70,77,80,89,70,72,81,75,41,74,42,42,40,93,77,84,51,LW,4,4,Left,"175cm / 5'9""",68kg / 150lb,"ST, LM",20,Spain,Liga F,FC Barcelona,"Finesse Shot, Quick Step, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/salma-paralluelo/269404,,,,,
329,329,736,Jess Park,79,84,70,71,83,41,58,85,83,75,74,71,65,63,60,74,70,48,77,63,66,86,87,80,70,85,60,39,49,37,48,31,64,68,52,57,RW,3,4,Right,"161cm / 5'3""",56kg / 123lb,"CM, RM",22,England,Barclays WSL,Manchester City,"First Touch, Flair, Quick Step, Technical, Trickster, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jess-park/265340,,,,,
330,330,736,Julie Pasquereau,79,56,38,65,60,80,80,44,66,47,33,53,31,35,40,53,47,39,81,83,50,58,33,44,76,69,72,76,80,80,83,79,80,71,87,75,CB,3,2,Right,"176cm / 5'9""",64kg / 141lb,,30,France,Arkema PL,FC Nantes,"Aerial, Block, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/julie-pasquereau/265893,,,,,
331,331,736,Toni Payne,79,89,73,74,77,72,81,90,89,79,75,74,69,65,67,78,70,55,78,70,76,76,80,77,77,77,75,75,70,70,75,69,89,92,83,59,RM,4,4,Right,"161cm / 5'3""",55kg / 121lb,"LW, RW",29,Nigeria,Barclays WSL,Everton,"Quick Step, Rapid, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/toni-payne/272051,,,,,
332,332,736,Lena Petermann,79,69,80,66,74,43,75,71,67,85,80,79,77,76,85,68,58,67,73,59,69,73,62,51,78,80,81,30,88,45,38,33,90,78,78,61,ST,3,4,Right,"175cm / 5'9""",65kg / 143lb,,30,Germany,Barclays WSL,Leicester City,Press Proven,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lena-petermann/227734,,,,,
333,333,736,Nichelle Prince,79,82,73,72,79,40,57,81,82,83,78,70,66,57,72,73,74,59,75,64,69,79,84,75,79,80,70,31,68,38,39,37,72,80,53,35,RM,3,3,Right,"163cm / 5'4""",65kg / 143lb,"CAM, RW",29,Canada,NWSL,KC Current,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nichelle-prince/235962,,,,,
334,334,736,Rocky Rodríguez,79,50,76,77,79,73,84,41,57,73,72,82,79,83,75,84,64,73,83,77,59,77,72,71,77,85,81,76,63,76,72,66,72,74,91,80,CDM,4,3,Right,"165cm / 5'5""",63kg / 139lb,CM,30,Costa Rica,NWSL,Angel City FC,Power Shot,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rocky-rodriguez/267226,,,,,
335,335,736,Cinta Rodríguez,79,72,46,69,67,80,79,68,75,66,51,35,37,30,68,65,66,38,80,70,46,55,66,70,81,80,75,79,70,80,84,79,81,71,85,73,CB,2,2,Right,"178cm / 5'10""",67kg / 148lb,,24,Spain,Liga F,UD Tenerife,Bruiser,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/cinta-rodriguez/272113,,,,,
336,336,736,María Sánchez,79,85,72,75,79,43,70,86,85,77,73,71,70,60,72,76,75,75,77,69,77,78,81,82,71,83,72,45,51,40,43,42,73,88,67,52,LM,3,4,Left,"163cm / 5'4""",52kg / 115lb,"RM, LW",28,Mexico,NWSL,San Diego Wave,"Incisive Pass, Jockey, Power Shot, Technical, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/maria-sanchez/228724,,,,,
337,337,736,Risa Shimizu,79,81,53,71,71,78,60,79,82,45,58,57,44,45,50,62,80,53,76,68,70,67,79,82,74,72,63,76,70,80,79,77,69,75,49,65,RB,3,3,Right,"160cm / 5'3""",47kg / 104lb,,28,Japan,Barclays WSL,Manchester City,Intercept,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/risa-shimizu/245826,,,,,
338,338,736,Katja Snoeijs,79,80,81,66,79,43,69,79,80,84,83,79,80,76,73,66,57,56,74,66,64,81,76,54,72,83,79,38,73,41,41,31,82,82,70,48,ST,3,3,Right,"172cm / 5'8""",63kg / 139lb,CAM,28,Holland,Barclays WSL,Everton,Aerial,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/katja-snoeijs/244059,,,,,
339,339,736,Sofie Svava,79,83,53,72,77,76,79,84,83,60,52,51,54,50,68,73,74,57,75,69,66,78,73,51,78,81,71,75,80,75,77,75,86,80,81,73,LB,3,4,Left,"173cm / 5'8""",67kg / 148lb,,24,Denmark,Arkema PL,OL,Rapid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sofie-svava/264980,,,,,
340,340,736,Kateřina Svitková,79,74,76,76,83,71,69,72,75,76,76,79,75,70,66,75,79,69,77,72,86,86,78,72,79,85,65,75,73,68,73,67,76,80,63,68,CAM,5,4,Right,"167cm / 5'6""",60kg / 132lb,"LM, CM",28,Czech Republic,Ceska Liga Žen,Slavia Praha,"Power Shot, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/katerina-svitkova/265304,,,,,
341,341,736,Paula Tomás,79,82,49,75,76,77,76,80,83,68,44,61,45,38,50,70,77,45,81,77,75,75,78,77,74,77,81,74,80,75,81,72,88,82,74,69,LB,3,4,Right,"170cm / 5'7""",61kg / 134lb,,23,Spain,Barclays WSL,Aston Villa,"Anticipate, Jockey, Press Proven, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/paula-tomas/272011,,,,,
342,342,736,Maddi Torre,79,63,56,76,70,82,74,56,68,61,50,62,61,59,59,77,70,50,84,75,62,66,72,64,74,75,70,82,80,85,81,80,79,83,75,60,CB,3,3,Right,"172cm / 5'8""",61kg / 134lb,CDM,28,Spain,Liga F,Athletic Club,Aerial,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/maddi-torre/272203,,,,,
343,343,736,Phallon Tullis-Joyce,79,80,74,75,80,44,80,44,45,13,11,56,19,9,18,31,12,15,24,28,12,12,53,58,78,17,32,8,12,12,15,13,64,26,65,17,GK,2,1,Right,"185cm / 6'1""",61kg / 134lb,,27,United States,Barclays WSL,Manchester Utd,"Cross Claimer, Deflector",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/phallon-tullis-joyce/267212,80.0,74.0,75.0,80.0,80.0
344,344,736,Wang Shuang,79,84,78,74,79,42,71,82,86,79,78,79,80,69,75,76,72,68,78,67,66,74,89,80,79,82,76,40,77,38,36,37,88,71,74,57,RW,4,3,Left,"165cm / 5'5""",59kg / 130lb,"RM, CM",29,China PR,Barclays WSL,Spurs,"First Touch, Flair, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wang-shuang/226360,,,,,
345,345,736,Morgan Weaver,79,83,78,77,78,45,77,82,83,78,81,79,74,66,76,75,79,62,80,75,79,79,81,54,78,79,71,43,78,37,43,42,92,81,82,54,LW,4,3,Right,"178cm / 5'10""",65kg / 143lb,LM,26,United States,NWSL,Portland Thorns,"Chip Shot, Flair, Power Header, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/morgan-weaver/266093,,,,,
346,346,736,Arin Wright,79,66,54,67,75,80,77,62,69,58,48,60,60,53,47,48,76,42,76,67,67,74,74,61,78,77,83,79,77,81,81,79,81,78,77,76,CB,3,2,Right,"168cm / 5'6""",60kg / 132lb,LB,31,United States,NWSL,Rac. Louisville,"Block, Intercept",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/arin-wright/267281,,,,,
347,347,970,Laia Aleixandri,78,75,30,58,54,79,73,70,79,22,28,40,27,22,38,31,59,42,75,63,37,32,64,70,76,74,64,78,77,78,82,79,82,67,74,75,CB,4,2,Right,"170cm / 5'7""",55kg / 121lb,RB,24,Spain,Barclays WSL,Manchester City,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/laia-aleixandri/253435,,,,,
348,348,970,Filippa Angeldahl,78,74,66,75,77,68,67,73,75,77,67,58,77,52,57,79,60,64,84,76,68,80,59,66,77,81,76,70,53,69,71,63,68,72,67,58,CM,3,3,Right,"170cm / 5'7""",63kg / 139lb,CDM,27,Sweden,Liga F,Real Madrid CF,Incisive Pass,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/filippa-angeldahl/263964,,,,,
349,349,970,Ana Vitória,78,73,72,76,79,51,69,73,73,81,75,67,73,58,73,82,71,66,78,75,80,79,76,76,77,80,81,45,67,40,60,57,77,68,73,56,CAM,3,3,Right,"173cm / 5'8""",59kg / 130lb,CM,24,Brazil,Liga F,Atlético de Madrid,"Acrobatic, Flair, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ana-vitoria/274754,,,,,
350,350,970,Sharon Beck,78,75,75,74,80,62,80,77,73,80,76,74,75,76,66,75,71,69,76,72,79,81,70,77,78,83,83,65,80,54,64,53,92,70,86,72,CAM,3,3,Left,"180cm / 5'11""",68kg / 150lb,CM,29,Israel,GPFBL,SV Werder Bremen,"Finesse Shot, Flair, Power Header, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sharon-beck/265101,,,,,
351,351,970,Nathalie Björn,78,77,40,71,65,79,78,76,77,52,35,42,47,35,43,55,68,56,81,79,65,58,66,75,78,69,79,80,78,81,76,78,88,77,77,78,CB,3,2,Right,"174cm / 5'9""",67kg / 148lb,"CM, RB",27,Sweden,Barclays WSL,Chelsea,"Anticipate, Intercept",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nathalie-bjorn/247461,,,,,
352,352,970,Florencia Bonsegundo,78,74,81,77,81,30,69,75,74,70,86,81,77,72,75,76,76,85,80,72,76,84,76,77,75,82,75,21,57,28,23,46,74,79,74,45,CAM,3,4,Right,"168cm / 5'6""",59kg / 130lb,CM,31,Argentina,Liga F,Madrid CFF,"First Touch, Flair, Incisive Pass, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/florencia-bonsegundo/246359,,,,,
353,353,970,Pauline Bremer,78,74,75,68,75,36,77,74,74,79,78,80,68,73,61,68,70,60,76,51,57,75,71,74,79,77,66,35,81,24,34,33,90,82,81,58,ST,4,4,Right,"170cm / 5'7""",65kg / 143lb,LW,28,Germany,Barclays WSL,Brighton,Power Header,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pauline-bremer/226355,,,,,
354,354,970,Dagný Brynjarsdóttir,78,63,73,71,73,79,82,61,64,80,76,67,73,60,79,79,48,55,82,79,45,73,74,37,80,76,78,76,84,80,79,75,88,80,86,75,CM,3,3,Right,"179cm / 5'10""",66kg / 146lb,"CDM, ST",33,Iceland,Barclays WSL,West Ham,Aerial,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dagny-brynjarsdottir/265300,,,,,
355,355,970,Laura Coombs,78,69,77,74,76,68,64,68,69,77,79,75,82,71,59,76,58,65,85,79,53,78,65,74,78,79,67,70,45,68,72,70,61,69,64,60,CM,3,4,Right,"164cm / 5'5""",58kg / 128lb,CAM,33,England,Barclays WSL,Manchester City,Anticipate,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/laura-coombs/265341,,,,,
356,356,970,Carole Costa,78,64,48,56,63,79,74,60,67,53,49,57,36,34,68,45,42,35,73,57,54,55,54,68,73,73,72,79,76,80,80,79,81,65,77,77,CB,3,2,Right,"171cm / 5'7""",61kg / 134lb,,34,Portugal,Liga Portugal Feminino,SL Benfica,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/carole-costa/261829,,,,,
357,357,970,Laura Domínguez,78,77,62,75,78,75,61,80,75,74,62,65,65,44,47,75,77,48,77,75,70,79,72,71,81,80,75,77,65,80,74,70,73,80,57,45,LB,3,3,Left,"159cm / 5'3""",49kg / 108lb,LM,27,Spain,Liga F,Madrid CFF,"Anticipate, Rapid, Relentless, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/laura-dominguez/272067,,,,,
358,358,970,Makenzy Doniak,78,79,79,70,75,40,70,78,79,80,81,80,77,75,76,56,73,71,77,68,68,74,72,59,76,82,70,33,70,38,39,36,81,68,75,55,ST,4,3,Right,"173cm / 5'8""",63kg / 139lb,RM,30,United States,NWSL,San Diego Wave,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/makenzy-doniak/267381,,,,,
359,359,970,Caprice Dydasco,78,78,56,70,73,73,72,79,78,52,47,70,68,49,40,56,74,67,76,69,71,70,71,79,75,76,70,77,41,76,78,76,65,84,69,67,RB,3,3,Right,"158cm / 5'2""",55kg / 121lb,LB,31,United States,NWSL,Bay FC,"Block, Jockey, Press Proven, Relentless",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/caprice-dydasco/267350,,,,,
360,360,970,Aida Esteve,78,69,72,77,78,70,63,69,69,72,74,68,77,54,66,80,68,66,85,74,65,80,77,73,75,80,62,71,54,66,80,61,63,73,58,64,CM,3,2,Left,"168cm / 5'6""",59kg / 130lb,CAM,23,Spain,Liga F,Valencia CF,Press Proven,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/aida-esteve/272079,,,,,
361,361,970,Laurina Fazer,78,83,71,72,85,67,58,79,87,77,68,78,76,59,61,79,57,59,79,73,68,85,90,84,78,84,80,77,54,65,69,59,62,72,48,66,CM,3,3,Right,"165cm / 5'5""",55kg / 121lb,CDM,20,France,Arkema PL,Paris SG,Technical,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/laurina-fazer/264900,,,,,
362,362,970,Taylor Flint,78,69,73,75,77,72,84,66,71,74,74,80,70,58,70,81,62,69,81,78,59,78,69,51,81,81,84,73,86,70,71,67,85,82,90,72,CDM,4,3,Right,"185cm / 6'1""",73kg / 161lb,CM,25,United States,NWSL,Rac. Louisville,"Aerial, Anticipate, Intercept, Power Header, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/taylor-flint/267384,,,,,
363,363,970,Svenja Fölmli,78,79,76,71,78,54,69,80,78,84,78,73,77,71,67,60,75,75,78,65,72,77,81,58,83,81,70,50,77,42,63,43,87,69,73,55,ST,3,4,Right,"170cm / 5'7""",59kg / 130lb,LW,22,Switzerland,GPFBL,SC Freiburg,"Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/svenja-folmli/265080,,,,,
364,364,970,Inma Gabarro,78,86,75,72,78,52,71,86,86,75,82,67,70,75,68,75,72,60,75,66,66,79,80,76,71,80,71,50,75,50,50,45,88,66,75,62,LM,3,4,Right,"160cm / 5'3""",57kg / 126lb,"RW, LW",21,Spain,Barclays WSL,Everton,"Chip Shot, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/inma-gabarro/272056,,,,,
